 R&D Spend , Administration , Marketing Spend , State , Profit ,,,,,,,,,,,,,
" 61,136.38 "," 1,52,701.92 "," 88,218.23 ", New York ," 97,483.56 ",,,,,,,,,,,,,
" 63,408.86 "," 1,29,219.61 "," 46,085.25 ", California ," 97,427.84 ",,,,,,,,,,,,,
" 55,493.95 "," 1,03,057.49 "," 2,14,634.81 ", Florida ," 96,778.92 ",,,,,,,,,,,,,
" 46,426.07 "," 1,57,693.92 "," 2,10,797.67 ", California ," 96,712.80 ",,,,,,,,,,,,,
" 46,014.02 "," 85,047.44 "," 2,05,517.64 ", New York ," 96,479.51 ",,,,,,,,,,,,,
" 28,663.76 "," 1,27,056.21 "," 2,01,126.82 ", Florida ," 90,708.19 ",,,,,,,,,,,,,
" 44,069.95 "," 51,283.14 "," 1,97,029.42 ", California ," 89,949.14 ",,,,,,,,,,,,,
" 20,229.59 "," 65,947.93 "," 1,85,265.10 ", New York ," 81,229.06 ",,,,,,,,,,,,,
" 38,558.51 "," 82,982.09 "," 1,74,999.30 ", California ," 81,005.76 ",,,,,,,,,,,,,
" 28,754.33 "," 1,18,546.05 "," 1,72,795.67 ", California ," 78,239.91 ",,,,,,,,,,,,,
" 27,892.92 "," 84,710.77 "," 1,64,470.71 ", Florida ," 77,798.83 ",,,,,,,,,,,,,
" 23,640.93 "," 96,189.63 "," 1,48,001.11 ", California ," 71,498.49 ",,,,,,,,,,,,,
" 15,505.73 "," 1,27,382.30 "," 35,534.17 ", New York ," 69,758.98 ",,,,,,,,,,,,,
" 22,177.74 "," 1,54,806.14 "," 28,334.72 ", California ," 65,200.33 ",,,,,,,,,,,,,
" 1,000.23 "," 1,24,153.04 "," 1,903.93 ", New York ," 64,926.08 ",,,,,,,,,,,,,
" 1,315.46 "," 1,15,816.21 "," 2,97,114.46 ", Florida ," 49,490.75 ",,,,,,,,,,,,,
 -   ," 1,35,426.92 ", -   , California ," 42,559.73 ",,,,,,,,,,,,,
 542.05 ," 51,743.15 ", -   , New York ," 35,673.41 ",,,,,,,,,,,,,
 -   ," 1,16,983.80 "," 45,173.06 ", California ," 14,681.40 ",,,,,,,,,,,,,
