,Loyalty Number,Country,Province,City,Postal Code,Education,Salary,Marital Status,CLV,Enrollment Type,Enrollment Year,Enrollment Month,Cancellation Year,Cancellation Month,Year,Month,Total Flights,Distance,Points Accumulated,Points Redeemed,Dollar Cost Points Redeemed,Gender_Female,Gender_Male,Loyalty Card_Aurora,Loyalty Card_Nova,Loyalty Card_Star
24,109767,Canada,Ontario,Toronto,M1R 4K3,Bachelor,89062.0,Single,3886.65,Standard,2016,5,,,48420,156,44,66909,66909.0,1752,315,True,False,False,False,True
25,217754,Canada,Quebec,Montreal,H2Y 4R4,Bachelor,102400.0,Single,3887.32,Standard,2015,6,,,48420,156,32,52110,52110.0,0,0,True,False,False,False,True
26,157005,Canada,British Columbia,Vancouver,V5R 1W3,Bachelor,98629.0,Married,3890.87,Standard,2016,10,,,48420,156,48,66723,66723.0,911,164,False,True,False,False,True
27,557752,Canada,Ontario,Toronto,P1L 8X8,Bachelor,98629.0,Married,3890.87,Standard,2017,10,,,48420,156,22,31868,31868.0,1340,241,True,False,False,False,True
28,608758,Canada,Ontario,Ottawa,K1F 2R2,Bachelor,63795.0,Married,3890.96,Standard,2013,7,,,48420,156,40,60258,60258.0,0,0,False,True,False,False,True
29,599341,Canada,Quebec,Tremblant,H5Y 2S9,Bachelor,54890.0,Married,3891.54,Standard,2015,11,,,48420,156,58,102009,102009.0,1863,335,True,False,False,False,True
30,333502,Canada,British Columbia,Vancouver,V5R 1W3,College,,Married,3891.58,Standard,2014,3,,,48420,156,42,60437,60437.0,409,74,False,True,False,False,True
31,201574,Canada,Ontario,Ottawa,K1F 2R2,Bachelor,51375.0,Married,3893.31,Standard,2015,4,2015.0,12.0,48420,156,0,0,0.0,0,0,True,False,False,False,True
32,403361,Canada,British Columbia,Vancouver,V1E 4R6,Bachelor,70222.0,Single,3895.03,Standard,2017,10,,,48420,156,19,21288,21288.0,0,0,False,True,False,False,True
33,543918,Canada,Quebec,Montreal,H2T 2J6,High School or Below,40736.0,Married,3896.57,Standard,2012,11,,,48420,156,52,76633,76633.0,3513,632,False,True,False,False,True
34,806030,Canada,Alberta,Calgary,T3E 2V9,Bachelor,75861.0,Married,3903.47,Standard,2018,5,,,48420,156,14,26656,26656.0,567,102,True,False,False,False,True
35,119200,Canada,British Columbia,Vancouver,V6E 3D9,Bachelor,69835.0,Divorced,3903.8,Standard,2017,5,,,48420,156,31,44595,44595.0,1004,180,True,False,False,False,True
36,938981,Canada,Alberta,Edmonton,T3G 6Y6,College,,Single,5337.35,2018 Promotion,2018,4,,,22198,77,38,49606,74409.0,0,0,True,False,True,False,False
37,238119,Canada,Quebec,Montreal,H2T 9K8,Bachelor,75980.0,Married,3906.67,Standard,2013,5,,,48420,156,50,78117,78117.0,611,110,False,True,False,False,True
38,730388,Canada,Ontario,Thunder Bay,K8T 5M5,College,,Single,3907.03,Standard,2012,5,,,48420,156,49,76504,76504.0,0,0,False,True,False,False,True
39,834891,Canada,British Columbia,Vancouver,V5R 1W3,Bachelor,54460.0,Married,3911.12,Standard,2017,3,2017.0,4.0,48420,156,0,0,0.0,0,0,True,False,False,False,True
40,127400,Canada,British Columbia,Whistler,V6T 1Y8,College,,Single,3914.72,Standard,2014,6,,,48420,156,29,37546,37546.0,528,95,True,False,False,False,True
41,324557,Canada,Quebec,Montreal,H2Y 2W2,College,,Single,3914.72,Standard,2013,2,,,48420,156,34,52567,52567.0,645,116,True,False,False,False,True
42,742002,Canada,Ontario,Toronto,P2T 6G3,College,,Single,3915.8,Standard,2016,5,,,48420,156,28,54018,54018.0,537,97,True,False,False,False,True
43,536567,Canada,Alberta,Peace River,T9O 2W2,Bachelor,80697.0,Married,3919.37,Standard,2016,5,,,48420,156,56,80852,80852.0,1245,224,False,True,False,False,True
44,704835,Canada,British Columbia,Whistler,V6T 1Y8,Bachelor,80697.0,Married,3919.37,Standard,2016,9,,,48420,156,40,62292,62292.0,1447,260,False,True,False,False,True
45,733338,Canada,Ontario,Thunder Bay,K8T 5M5,Bachelor,80697.0,Married,3919.37,Standard,2016,6,2017.0,2.0,48420,156,3,4497,4497.0,0,0,True,False,False,False,True
46,758635,Canada,Quebec,Montreal,H2T 9K8,Bachelor,80697.0,Married,3919.37,Standard,2018,6,,,48420,156,9,11980,11980.0,0,0,False,True,False,False,True
47,823048,Canada,British Columbia,Vancouver,V6E 3Z3,Bachelor,80697.0,Married,3919.37,Standard,2018,5,,,48420,156,18,17990,17990.0,0,0,False,True,False,False,True
48,612905,Canada,Ontario,Toronto,P2T 6G3,College,,Married,3920.51,Standard,2015,2,,,48420,156,35,48796,48796.0,569,102,True,False,False,False,True
49,679908,Canada,Quebec,Montreal,H4G 3T4,Bachelor,77601.0,Married,3921.02,Standard,2015,8,,,48420,156,36,57423,57423.0,979,176,True,False,False,False,True
50,704150,Canada,Manitoba,Winnipeg,R6Y 4T5,Bachelor,77601.0,Married,3921.02,Standard,2014,10,,,48420,156,36,45313,45313.0,966,174,False,True,False,False,True
51,869743,Canada,Ontario,Sudbury,M5V 1G5,Bachelor,73236.0,Single,3924.42,Standard,2016,11,2017.0,7.0,48420,156,15,16548,16548.0,0,0,True,False,False,False,True
52,596179,Canada,New Brunswick,Fredericton,E3B 2H2,Bachelor,50879.0,Single,3933.81,Standard,2014,3,,,48420,156,44,79867,79867.0,0,0,True,False,False,False,True
53,370450,Canada,Ontario,Thunder Bay,K8T 5M5,High School or Below,62160.0,Married,3934.1,Standard,2012,11,,,48420,156,44,56131,56131.0,1382,249,True,False,False,False,True
54,501030,Canada,British Columbia,Vancouver,V6E 3Z3,Bachelor,93541.0,Married,3934.71,Standard,2017,3,,,48420,156,26,32965,32965.0,0,0,False,True,False,False,True
55,878633,Canada,Ontario,Trenton,K8V 4B2,Doctor,163974.0,Married,3936.79,Standard,2013,12,,,48420,156,44,57250,57250.0,0,0,True,False,False,False,True
56,285938,Canada,Quebec,Montreal,H2T 2J6,Bachelor,75827.0,Married,3939.01,Standard,2014,9,,,48420,156,40,63668,63668.0,607,109,True,False,False,False,True
57,588237,Canada,Quebec,Tremblant,H5Y 2S9,Bachelor,75827.0,Married,3939.01,Standard,2013,11,,,48420,156,33,31726,31726.0,2056,370,False,True,False,False,True
58,645280,Canada,British Columbia,West Vancouver,V6V 8Z3,Bachelor,75827.0,Married,3939.01,Standard,2012,12,,,48420,156,43,62923,62923.0,813,146,False,True,False,False,True
59,864324,Canada,Quebec,Quebec City,G1B 3L5,Bachelor,75827.0,Married,3939.01,Standard,2018,6,,,48420,156,43,58388,58388.0,1686,304,True,False,False,False,True
60,124678,Canada,Nova Scotia,Halifax,B3J 9S2,Doctor,152955.0,Married,3954.34,Standard,2013,6,,,48420,156,51,74440,74440.0,304,55,False,True,False,False,True
61,186015,Canada,British Columbia,Vancouver,V6E 3Z3,Doctor,152955.0,Married,3954.34,Standard,2015,9,,,48420,156,41,60413,60413.0,1543,278,False,True,False,False,True
62,461108,Canada,Quebec,Montreal,H2T 9K8,Doctor,152955.0,Married,3954.34,Standard,2018,10,,,48420,156,1,1209,1209.0,0,0,False,True,False,False,True
63,589580,Canada,British Columbia,Whistler,V6T 1Y8,Doctor,152955.0,Married,3954.34,Standard,2015,8,,,48420,156,52,78121,78121.0,1159,208,False,True,False,False,True
64,623688,Canada,Ontario,London,M5B 3E4,Doctor,152955.0,Married,3954.34,Standard,2016,5,,,48420,156,54,86566,86566.0,1839,331,True,False,False,False,True
65,386082,Canada,Alberta,Edmonton,T9G 1W3,Bachelor,30486.0,Divorced,5391.97,2018 Promotion,2018,3,2018.0,11.0,22198,77,40,36882,55323.0,0,0,True,False,True,False,False
66,256147,Canada,Ontario,Toronto,M1R 4K3,College,,Married,3958.0,Standard,2012,9,,,48420,156,46,71626,71626.0,339,61,True,False,False,False,True
67,329382,Canada,Quebec,Montreal,H2T 9K8,College,,Single,3961.59,Standard,2012,8,,,48420,156,0,0,0.0,0,0,False,True,False,False,True
68,140392,Canada,British Columbia,Vancouver,V5R 1W3,Bachelor,96814.0,Married,3963.39,Standard,2013,7,,,48420,156,32,45974,45974.0,1185,213,True,False,False,False,True
69,112522,Canada,Alberta,Peace River,T9O 2W2,Bachelor,49846.0,Married,5636.74,2018 Promotion,2018,2,,,22198,77,50,69086,103629.0,0,0,False,True,True,False,False
70,230908,Canada,British Columbia,Vancouver,V6E 3Z3,Doctor,217538.0,Divorced,3964.15,Standard,2012,5,,,48420,156,49,66022,66022.0,822,148,False,True,False,False,True
71,972581,Canada,British Columbia,Vancouver,V5R 1W3,High School or Below,48744.0,Married,3964.53,Standard,2016,2,,,48420,156,28,30777,30777.0,1145,206,False,True,False,False,True
72,357549,Canada,British Columbia,Whistler,V6T 1Y8,Bachelor,76410.0,Single,3964.73,Standard,2018,9,,,48420,156,0,0,0.0,0,0,True,False,False,False,True
73,330694,Canada,Alberta,Edmonton,T3G 6Y6,Bachelor,105053.0,Married,6172.91,2018 Promotion,2018,2,,,22198,77,38,67690,101535.0,500,90,True,False,True,False,False
74,910875,Canada,Quebec,Hull,J8Y 3Z5,Bachelor,84914.0,Married,3966.13,Standard,2012,11,,,48420,156,32,51583,51583.0,483,87,True,False,False,False,True
75,501704,Canada,Quebec,Hull,J8Y 3Z5,College,,Divorced,3974.86,Standard,2013,5,,,48420,156,39,41150,41150.0,3593,647,False,True,False,False,True
76,529098,Canada,British Columbia,Vancouver,V6E 3Z3,College,,Divorced,3974.86,Standard,2017,10,,,48420,156,24,36853,36853.0,1682,303,True,False,False,False,True
77,265297,Canada,Manitoba,Winnipeg,R2C 0M5,Bachelor,60519.0,Married,3978.67,Standard,2018,7,,,48420,156,11,16640,16640.0,0,0,True,False,False,False,True
78,567875,Canada,Quebec,Quebec City,G1B 3L5,Bachelor,102457.0,Married,3979.72,Standard,2017,5,,,48420,156,15,24199,24199.0,0,0,True,False,False,False,True
79,688524,Canada,Manitoba,Winnipeg,R2C 0M5,Bachelor,103862.0,Married,3980.42,Standard,2013,3,,,48420,156,24,40288,40288.0,3244,584,True,False,False,False,True
80,269070,Canada,British Columbia,Vancouver,V6E 3Z3,Master,93153.0,Married,3985.32,Standard,2013,1,,,48420,156,42,56484,56484.0,1300,234,False,True,False,False,True
81,387705,Canada,Quebec,Hull,J8Y 3Z5,Master,93153.0,Married,3985.32,Standard,2013,4,,,48420,156,45,68743,68743.0,1626,293,True,False,False,False,True
82,923293,Canada,Saskatchewan,Regina,S6J 3G0,Bachelor,86793.0,Divorced,3985.55,Standard,2016,6,,,48420,156,41,52419,52419.0,850,153,False,True,False,False,True
83,283314,Canada,Ontario,Toronto,M2Z 4K1,Bachelor,72127.0,Married,3991.73,Standard,2013,4,2015.0,2.0,48420,156,0,0,0.0,0,0,True,False,False,False,True
84,322102,Canada,British Columbia,Vancouver,V5R 1W3,College,,Married,3992.58,Standard,2013,8,2014.0,4.0,48420,156,0,0,0.0,0,0,False,True,False,False,True
85,789157,Canada,British Columbia,Vancouver,V6E 3Z3,College,,Single,3995.36,Standard,2018,9,,,48420,156,3,6690,6690.0,0,0,True,False,False,False,True
86,654748,Canada,Ontario,Ottawa,K1F 2R2,Bachelor,65721.0,Married,3996.77,Standard,2017,4,2017.0,12.0,48420,156,12,16433,16433.0,0,0,True,False,False,False,True
87,984713,Canada,Ontario,Sudbury,M5V 1G5,College,,Single,3997.48,Standard,2018,8,,,48420,156,5,9871,9871.0,556,100,True,False,False,False,True
88,114835,Canada,Ontario,Toronto,M1R 4K3,Master,101354.0,Divorced,4001.52,Standard,2017,7,,,48420,156,30,42008,42008.0,0,0,True,False,False,False,True
89,328936,Canada,Ontario,Thunder Bay,K8T 5M5,Bachelor,53118.0,Married,4005.72,Standard,2015,3,,,48420,156,45,64695,64695.0,906,163,True,False,False,False,True
90,845864,Canada,British Columbia,Vancouver,V5R 1W3,Doctor,115440.0,Married,4013.85,Standard,2013,4,,,48420,156,41,54793,54793.0,1376,248,True,False,False,False,True
91,645265,Canada,Quebec,Quebec City,G1B 3L5,Bachelor,73313.0,Married,4013.95,Standard,2013,3,,,48420,156,32,45483,45483.0,381,69,False,True,False,False,True
92,223587,Canada,British Columbia,Vancouver,V6E 3Z3,Bachelor,100167.0,Married,4013.96,Standard,2017,8,,,48420,156,28,45681,45681.0,554,100,True,False,False,False,True
93,158560,Canada,British Columbia,Vancouver,V6E 3D9,Bachelor,59262.0,Married,4014.45,Standard,2015,12,,,48420,156,33,47353,47353.0,1743,314,False,True,False,False,True
94,417584,Canada,British Columbia,Vancouver,V5R 1W3,Bachelor,59262.0,Married,4014.45,Standard,2014,5,,,48420,156,36,52014,52014.0,607,109,False,True,False,False,True
95,566033,Canada,Ontario,Toronto,M2P 4F6,College,,Married,4015.21,Standard,2015,6,2016.0,7.0,48420,156,0,0,0.0,0,0,False,True,False,False,True
96,472521,Canada,Alberta,Edmonton,T9G 1W3,College,,Married,6265.34,2018 Promotion,2018,3,,,22198,77,47,38492,57738.0,389,70,False,True,True,False,False
97,425854,Canada,Ontario,Toronto,P1J 8T7,High School or Below,39079.0,Married,4016.13,Standard,2016,11,,,48420,156,37,52145,52145.0,630,113,True,False,False,False,True
98,174896,Canada,Alberta,Edmonton,T3G 6Y6,College,,Single,4016.54,Standard,2015,4,2015.0,12.0,48420,156,0,0,0.0,0,0,True,False,False,False,True
99,695855,Canada,Quebec,Montreal,H2T 2J6,College,,Divorced,4019.38,Standard,2013,4,,,48420,156,34,44046,44046.0,436,78,True,False,False,False,True
100,699511,Canada,British Columbia,West Vancouver,V6V 8Z3,College,,Divorced,4019.38,Standard,2014,7,,,48420,156,28,43734,43734.0,0,0,True,False,False,False,True
101,377322,Canada,Alberta,Edmonton,T9G 1W3,Bachelor,62518.0,Married,4023.81,Standard,2016,5,,,48420,156,54,99708,99708.0,2450,441,True,False,False,False,True
102,511053,Canada,Ontario,Toronto,M2M 7K8,Bachelor,62518.0,Married,4023.81,Standard,2015,3,,,48420,156,26,40795,40795.0,802,145,False,True,False,False,True
103,890753,Canada,Quebec,Montreal,H2Y 2W2,College,,Married,4025.1,Standard,2017,9,,,48420,156,23,39053,39053.0,723,130,False,True,False,False,True
104,796670,Canada,Manitoba,Winnipeg,R2C 0M5,Bachelor,47536.0,Married,4035.68,Standard,2014,2,,,48420,156,45,70442,70442.0,814,147,True,False,False,False,True
105,556136,Canada,Quebec,Montreal,H4G 3T4,College,,Married,4035.77,Standard,2017,1,,,48420,156,39,49857,49857.0,521,94,True,False,False,False,True
106,513081,Canada,Alberta,Edmonton,T9G 1W3,Bachelor,98320.0,Married,4037.5,Standard,2015,11,,,48420,156,24,35692,35692.0,2148,388,True,False,False,False,True
107,930718,Canada,Quebec,Montreal,H2T 2J6,High School or Below,63577.0,Married,4037.55,Standard,2015,7,,,48420,156,53,66249,66249.0,1088,196,True,False,False,False,True
108,235872,Canada,Ontario,Toronto,P1J 8T7,Doctor,89057.0,Single,4046.94,Standard,2013,3,,,48420,156,44,56477,56477.0,1221,220,True,False,False,False,True
109,881142,Canada,British Columbia,Vancouver,V1E 4R6,Doctor,89057.0,Single,4046.94,Standard,2016,9,2017.0,5.0,48420,156,9,9859,9859.0,870,157,True,False,False,False,True
110,295147,Canada,British Columbia,Kelowna,V09 2E9,Bachelor,99814.0,Married,4048.16,Standard,2017,5,,,48420,156,32,56656,56656.0,2024,364,False,True,False,False,True
111,306110,Canada,Ontario,Toronto,P1J 8T7,Bachelor,64587.0,Married,4053.37,Standard,2013,5,,,48420,156,29,33602,33602.0,1639,294,False,True,False,False,True
112,295217,Canada,Ontario,Toronto,M1R 4K3,Doctor,67411.0,Divorced,4059.57,Standard,2016,6,,,48420,156,29,51310,51310.0,1767,318,True,False,False,False,True
113,967300,Canada,Alberta,Edmonton,T9G 1W3,Bachelor,62630.0,Single,6364.9,2018 Promotion,2018,3,2018.0,11.0,22198,77,36,47688,71532.0,536,96,False,True,True,False,False
114,591731,Canada,Ontario,Toronto,P2T 6G3,Bachelor,51370.0,Married,4064.18,Standard,2013,9,,,48420,156,47,70582,70582.0,645,116,False,True,False,False,True
115,326905,Canada,British Columbia,Vancouver,V5R 1W3,College,,Married,4068.09,Standard,2017,2,,,48420,156,34,53745,53745.0,704,127,True,False,False,False,True
116,375511,Canada,Quebec,Montreal,H2Y 2W2,Bachelor,59300.0,Single,4070.05,Standard,2014,7,,,48420,156,50,75498,75498.0,1436,258,True,False,False,False,True
117,485283,Canada,Ontario,Toronto,P1J 8T7,Bachelor,102479.0,Single,4072.85,Standard,2017,9,,,48420,156,19,37817,37817.0,564,102,False,True,False,False,True
118,920716,Canada,Alberta,Peace River,T9O 2W2,College,,Single,7098.91,2018 Promotion,2018,4,,,22198,77,43,80389,120583.5,697,125,True,False,True,False,False
119,797685,Canada,Alberta,Edmonton,T3G 6Y6,College,,Married,4079.13,Standard,2017,6,,,48420,156,31,47547,47547.0,1407,253,False,True,False,False,True
120,216467,Canada,New Brunswick,Fredericton,E3B 2H2,Doctor,90995.0,Married,4083.56,Standard,2014,7,,,48420,156,32,47261,47261.0,920,165,False,True,False,False,True
121,958839,Canada,Quebec,Montreal,H4G 3T4,Doctor,90995.0,Married,4083.56,Standard,2018,8,,,48420,156,9,21320,21320.0,0,0,False,True,False,False,True
122,539673,Canada,Ontario,Toronto,P5S 6R4,Bachelor,49558.0,Married,4087.51,Standard,2015,2,2018.0,6.0,48420,156,26,37427,37427.0,498,90,True,False,False,False,True
123,746226,Canada,British Columbia,Whistler,V6T 1Y8,Bachelor,63501.0,Married,4089.04,Standard,2018,1,,,96840,312,6,4347,4347.0,0,0,True,False,False,False,True
124,484718,Canada,British Columbia,Vancouver,V6E 3Z3,Bachelor,76367.0,Single,4089.46,Standard,2012,6,,,48420,156,36,63812,63812.0,2102,379,False,True,False,False,True
125,528492,Canada,Quebec,Hull,J8Y 3Z5,Bachelor,60360.0,Married,4090.75,Standard,2015,6,2018.0,11.0,48420,156,41,79740,79740.0,821,147,False,True,False,False,True
126,995091,Canada,British Columbia,Whistler,V6T 1Y8,Bachelor,55454.0,Married,4095.2,Standard,2017,9,,,48420,156,16,25024,25024.0,506,91,True,False,False,False,True
127,632793,Canada,Quebec,Hull,J8Y 3Z5,High School or Below,60370.0,Single,4097.37,Standard,2016,6,,,48420,156,33,39155,39155.0,506,91,True,False,False,False,True
128,912220,Canada,British Columbia,Vancouver,V6E 3Z3,High School or Below,60370.0,Single,4097.37,Standard,2013,8,2014.0,4.0,48420,156,0,0,0.0,0,0,False,True,False,False,True
129,382197,Canada,British Columbia,Vancouver,V6E 3Z3,Bachelor,69367.0,Married,4100.47,Standard,2017,10,2018.0,6.0,48420,156,13,23750,23750.0,461,83,False,True,False,False,True
130,705196,Canada,British Columbia,Whistler,V6T 1Y8,College,,Single,4101.94,Standard,2013,11,,,48420,156,57,91665,91665.0,1808,325,True,False,False,False,True
131,123094,Canada,British Columbia,Vancouver,V6E 3Z3,Bachelor,92223.0,Married,4103.85,Standard,2018,1,,,48420,156,24,33723,33723.0,337,61,True,False,False,False,True
132,366540,Canada,Alberta,Calgary,T3E 2V9,Bachelor,90077.0,Married,7288.88,2018 Promotion,2018,3,,,22198,77,69,127815,191722.5,1258,227,True,False,True,False,False
133,119488,Canada,Quebec,Tremblant,H5Y 2S9,College,,Single,4108.26,Standard,2017,6,,,48420,156,33,38383,38383.0,0,0,True,False,False,False,True
134,287750,Canada,Ontario,Ottawa,K1F 2R2,College,,Single,4109.31,Standard,2012,8,,,48420,156,48,62074,62074.0,1694,306,True,False,False,False,True
135,735846,Canada,Ontario,Trenton,K8V 4B2,Bachelor,95318.0,Married,4109.79,Standard,2012,8,,,48420,156,40,54771,54771.0,2199,395,False,True,False,False,True
136,606026,Canada,British Columbia,Vancouver,V6E 3Z3,Bachelor,55207.0,Single,4110.62,Standard,2015,7,,,48420,156,50,73750,73750.0,1084,195,False,True,False,False,True
137,460291,Canada,British Columbia,West Vancouver,V6V 8Z3,Bachelor,55476.0,Divorced,4111.2,Standard,2015,9,,,48420,156,41,71374,71374.0,0,0,True,False,False,False,True
138,743001,Canada,British Columbia,Vancouver,V6E 3D9,Bachelor,79533.0,Married,4111.89,Standard,2017,5,,,48420,156,29,41620,41620.0,1191,215,True,False,False,False,True
139,869799,Canada,Ontario,Toronto,P1W 1K4,Bachelor,79533.0,Married,4111.89,Standard,2015,3,,,48420,156,29,42824,42824.0,688,124,True,False,False,False,True
140,520321,Canada,Ontario,London,M5B 3E4,Doctor,237245.0,Married,4112.84,Standard,2015,9,2016.0,5.0,48420,156,0,0,0.0,0,0,True,False,False,False,True
141,279419,Canada,British Columbia,West Vancouver,V6V 8Z3,College,,Single,4117.37,Standard,2013,7,,,96840,312,81,132093,132093.0,4221,760,True,False,False,False,True
142,170585,Canada,Ontario,Thunder Bay,K8T 5M5,Bachelor,82675.0,Single,4118.59,Standard,2013,8,,,48420,156,34,51002,51002.0,405,73,False,True,False,False,True
143,188340,Canada,Ontario,Toronto,M2M 7K8,Bachelor,82675.0,Single,4118.59,Standard,2017,4,,,48420,156,51,60772,60772.0,1382,249,False,True,False,False,True
144,670817,Canada,Ontario,Ottawa,K1F 2R2,Bachelor,82675.0,Single,4118.59,Standard,2016,12,,,48420,156,44,64176,64176.0,682,123,False,True,False,False,True
145,509513,Canada,British Columbia,Vancouver,V5R 1W3,College,,Single,4121.25,Standard,2012,12,,,48420,156,49,93408,93408.0,576,104,False,True,False,False,True
146,779247,Canada,Manitoba,Winnipeg,R2C 0M5,Bachelor,86987.0,Married,4122.57,Standard,2012,9,,,48420,156,50,57896,57896.0,536,96,False,True,False,False,True
147,111255,Canada,Quebec,Hull,J8Y 3Z5,High School or Below,70272.0,Married,4122.96,Standard,2013,3,,,48420,156,48,65856,65856.0,0,0,False,True,False,False,True
148,763061,Canada,Ontario,Toronto,P2T 6G3,Bachelor,56845.0,Married,4126.61,Standard,2014,4,,,48420,156,16,28415,28415.0,515,93,False,True,False,False,True
149,766335,Canada,Alberta,Edmonton,T9G 1W3,Bachelor,67756.0,Married,7482.49,2018 Promotion,2018,2,,,22198,77,31,46984,70476.0,509,92,False,True,True,False,False
150,428919,Canada,Quebec,Montreal,H2T 9K8,Bachelor,58209.0,Divorced,4139.9,Standard,2015,7,,,48420,156,35,54829,54829.0,0,0,True,False,False,False,True
151,139863,Canada,Quebec,Montreal,H2T 9K8,Bachelor,67223.0,Married,4142.56,Standard,2015,10,,,48420,156,30,56645,56645.0,857,154,False,True,False,False,True
152,695755,Canada,British Columbia,West Vancouver,V6V 8Z3,Bachelor,79088.0,Married,4144.87,Standard,2012,4,,,48420,156,0,0,0.0,0,0,True,False,False,False,True
153,355331,Canada,Ontario,Thunder Bay,K8T 5M5,College,,Divorced,4145.02,Standard,2013,7,,,48420,156,51,75018,75018.0,2592,466,False,True,False,False,True
154,578837,Canada,Ontario,Toronto,P5S 6R4,College,,Single,4152.65,Standard,2012,5,,,48420,156,25,34177,34177.0,1028,185,False,True,False,False,True
155,603248,Canada,British Columbia,Vancouver,V6E 3D9,College,,Married,4157.7,Standard,2016,2,2016.0,10.0,48420,156,0,0,0.0,0,0,False,True,False,False,True
156,467182,Canada,Alberta,Edmonton,T9G 1W3,Bachelor,102347.0,Married,4160.02,Standard,2013,12,2018.0,10.0,48420,156,46,64257,64257.0,1762,318,True,False,False,False,True
